position;model_type;model_name;n_train;n_test;mae;rmse;pct_error_le_1;pct_error_le_2;pct_integer_exact;pct_integer_error_le_1;pct_integer_error_le_2;selected_for_prediction
LMF;anchored_formula;AnchorExtraTrees;270;68;1,345829779411765;1,5404645260595244;29,411764705882355;80,88235294117648;16,176470588235293;69,11764705882352;92,64705882352942;False
LMF;anchored_formula;AnchorRandomForest;270;68;1,1397546977124187;1,3787278318363825;45,588235294117645;85,29411764705883;20,588235294117645;73,52941176470588;94,11764705882352;False
LMF;anchored_formula;AnchorHistGradient;270;68;1,3826590198845818;1,5693969156749237;29,411764705882355;83,82352941176471;13,23529411764706;69,11764705882352;91,17647058823529;False
LMF;anchored_formula;AnchorGradientBoosting;270;68;0,757728848050679;0,9935439154254376;75,0;95,58823529411765;47,05882352941176;82,35294117647058;98,52941176470588;False
RMF;anchored_formula;AnchorCurve;311;78;1,3081730769230773;1,6137520606155786;46,15384615384615;82,05128205128204;21,794871794871796;58,97435897435898;89,74358974358975;False
RMF;anchored_formula;AnchorLinearRegression;311;78;0,7602040332466096;0,9646073924287117;70,51282051282051;94,87179487179486;38,46153846153847;87,17948717948718;100,0;False
RMF;anchored_formula;AnchorRidge;311;78;0,7760075387472187;0,9808918292408283;69,23076923076923;94,87179487179486;38,46153846153847;87,17948717948718;100,0;False
RMF;anchored_formula;AnchorLasso;311;78;0,7767711338834957;0,9804451080987658;67,94871794871796;96,15384615384616;41,02564102564102;85,8974358974359;100,0;False
RMF;anchored_formula;AnchorElasticNet;311;78;0,7705276962920056;0,9748618979944654;69,23076923076923;94,87179487179486;41,02564102564102;87,17948717948718;100,0;True
RMF;anchored_formula;AnchorExtraTrees;311;78;1,4891105769230772;1,6879340953806699;26,923076923076923;75,64102564102564;15,384615384615385;46,15384615384615;85,8974358974359;False
RMF;anchored_formula;AnchorRandomForest;311;78;1,564401175213676;1,7689749217858886;29,48717948717949;64,1025641025641;15,384615384615385;46,15384615384615;84,61538461538461;False
RMF;anchored_formula;AnchorHistGradient;311;78;2,5071937237151087;2,667525863523646;5,128205128205128;28,205128205128204;2,564102564102564;14,102564102564102;46,15384615384615;False
RMF;anchored_formula;AnchorGradientBoosting;311;78;3,292879468275994;3,3995612197917997;1,282051282051282;5,128205128205128;0,0;1,282051282051282;16,666666666666664;False
AMF;anchored_formula;AnchorCurve;744;186;1,503797043010753;1,9600077383371215;41,39784946236559;74,19354838709677;21,50537634408602;61,29032258064516;80,10752688172043;False
AMF;anchored_formula;AnchorLinearRegression;744;186;0,7406572074796895;0,9536826616613127;72,04301075268818;95,16129032258065;46,236559139784944;88,17204301075269;98,38709677419355;False
AMF;anchored_formula;AnchorRidge;744;186;0,7399935247603956;0,951949364071916;72,04301075268818;95,16129032258065;45,69892473118279;88,70967741935483;98,38709677419355;False
AMF;anchored_formula;AnchorLasso;744;186;0,7395132161979074;0,9545593032817271;72,58064516129032;95,16129032258065;44,086021505376344;88,70967741935483;98,38709677419355;False
AMF;anchored_formula;AnchorElasticNet;744;186;0,7396505624289051;0,9533496752563542;72,58064516129032;95,16129032258065;45,69892473118279;88,70967741935483;98,38709677419355;True
AMF;anchored_formula;AnchorExtraTrees;744;186;2,1863203629032304;2,2629076646434645;1,6129032258064515;34,40860215053764;0,0;11,29032258064516;74,19354838709677;False
AMF;anchored_formula;AnchorRandomForest;744;186;2,3372675975706914;2,4169032896062252;1,6129032258064515;29,56989247311828;0,5376344086021506;8,064516129032258;61,29032258064516;False
AMF;anchored_formula;AnchorHistGradient;744;186;2,6618362917013245;2,7279371287449306;0,5376344086021506;14,516129032258066;0,0;2,1505376344086025;38,70967741935484;False
AMF;anchored_formula;AnchorGradientBoosting;744;186;2,4517672473505727;2,5174421138401475;0,5376344086021506;21,50537634408602;0,0;3,225806451612903;52,68817204301075;False
LWF;anchored_formula;AnchorCurve;412;104;1,8450721153846152;2,284818073678448;34,61538461538461;59,61538461538461;16,346153846153847;50,96153846153846;72,11538461538461;False
LWF;anchored_formula;AnchorLinearRegression;412;104;0,8736173784812741;1,041396693568968;62,5;96,15384615384616;26,923076923076923;85,57692307692307;98,07692307692307;False
LWF;anchored_formula;AnchorRidge;412;104;0,8878520014663743;1,0552929172688357;65,38461538461539;96,15384615384616;26,923076923076923;85,57692307692307;98,07692307692307;False
LWF;anchored_formula;AnchorLasso;412;104;0,8810397304687184;1,0515733977431778;61,53846153846154;96,15384615384616;27,884615384615387;85,57692307692307;98,07692307692307;True
LWF;anchored_formula;AnchorElasticNet;412;104;0,8777248195220267;1,0463990782367685;61,53846153846154;96,15384615384616;26,923076923076923;84,61538461538461;98,07692307692307;False
LWF;anchored_formula;AnchorExtraTrees;412;104;1,8755387019230707;2,079387140576185;18,269230769230766;47,11538461538461;5,769230769230769;31,73076923076923;77,88461538461539;False
LWF;anchored_formula;AnchorRandomForest;412;104;1,66256223290598;1,8913867222350211;27,884615384615387;66,34615384615384;8,653846153846153;42,30769230769231;83,65384615384616;False
LWF;anchored_formula;AnchorHistGradient;412;104;1,8615910283486186;2,0772287216685594;24,03846153846154;50,96153846153846;6,730769230769231;34,61538461538461;75,0;False
LWF;anchored_formula;AnchorGradientBoosting;412;104;2,062713038316732;2,252043157420079;15,384615384615385;48,07692307692308;4,807692307692308;25,0;71,15384615384616;False
RWF;anchored_formula;AnchorCurve;432;108;1,7840856481481475;2,28184170725482;34,25925925925926;65,74074074074075;17,59259259259259;53,70370370370371;75,92592592592592;False
RWF;anchored_formula;AnchorLinearRegression;432;108;0,8767445882984815;1,1009527163391681;64,81481481481481;95,37037037037037;31,48148148148148;83,33333333333334;98,14814814814815;False
