2026-06-24 14:09:08,060 | INFO | __main__ | Modelo PES-like CF guardado (AnchorRidge, MAE train 0.672)
2026-06-24 14:09:08,154 | INFO | __main__ | Resultados guardados en D:\Agustín\Webs\Base-de-datos-main\Formula_Medias_PES2018\outputs
2026-06-24 14:20:00,538 | WARNING | __main__ | El dataset parece tener stats corridas de una version vieja del parser (stamina demasiado baja). Se usara la cache local de PES Master solo en memoria.
2026-06-24 14:22:00,813 | WARNING | parser | Se descartaron 19 filas porque no son de PES 2018.
2026-06-24 14:22:00,976 | WARNING | __main__ | Se ignoran stats sin valor numerico o excluidas de la formula base: place_kicking, swerve
2026-06-24 14:22:14,045 | INFO | __main__ | Modelo PES-like GK guardado (AnchorRandomForest, MAE train 0.809)
2026-06-24 14:22:43,517 | INFO | __main__ | Modelo PES-like CB guardado (AnchorElasticNet, MAE train 0.611)
2026-06-24 14:22:56,990 | INFO | __main__ | Modelo PES-like LB guardado (AnchorLinearRegression, MAE train 0.757)
2026-06-24 14:23:13,250 | INFO | __main__ | Modelo PES-like RB guardado (AnchorLinearRegression, MAE train 0.712)
2026-06-24 14:23:30,371 | INFO | __main__ | Modelo PES-like DMF guardado (AnchorLinearRegression, MAE train 0.940)
2026-06-24 14:23:52,063 | INFO | __main__ | Modelo PES-like CMF guardado (AnchorLinearRegression, MAE train 0.811)
2026-06-24 14:23:58,590 | INFO | __main__ | Modelo PES-like LMF guardado (AnchorLasso, MAE train 0.597)
2026-06-24 14:24:05,949 | INFO | __main__ | Modelo PES-like RMF guardado (AnchorElasticNet, MAE train 0.726)
2026-06-24 14:24:20,132 | INFO | __main__ | Modelo PES-like AMF guardado (AnchorElasticNet, MAE train 0.688)
2026-06-24 14:24:29,013 | INFO | __main__ | Modelo PES-like LWF guardado (AnchorLasso, MAE train 0.796)
2026-06-24 14:24:38,215 | INFO | __main__ | Modelo PES-like RWF guardado (AnchorElasticNet, MAE train 0.738)
2026-06-24 14:24:44,672 | INFO | __main__ | Modelo PES-like SS guardado (AnchorRidge, MAE train 0.565)
2026-06-24 14:25:09,558 | INFO | __main__ | Modelo PES-like CF guardado (AnchorLinearRegression, MAE train 0.637)
2026-06-24 14:25:09,657 | INFO | __main__ | Resultados guardados en D:\Agustín\Webs\Base-de-datos-main\Formula_Medias_PES2018\outputs
2026-06-24 14:32:32,484 | WARNING | __main__ | El dataset parece tener stats corridas de una version vieja del parser (stamina demasiado baja). Se usara la cache local de PES Master solo en memoria.
2026-06-24 14:34:07,453 | WARNING | parser | Se descartaron 19 filas porque no son de PES 2018.
2026-06-24 14:34:07,593 | WARNING | __main__ | Se ignoran stats sin valor numerico o excluidas de la formula base: place_kicking, swerve
2026-06-24 14:34:18,640 | INFO | __main__ | Modelo PES-like GK guardado (AnchorRandomForest, MAE train 0.809)
2026-06-24 14:34:43,094 | INFO | __main__ | Modelo PES-like CB guardado (AnchorElasticNet, MAE train 0.611)
2026-06-24 14:34:56,523 | INFO | __main__ | Modelo PES-like LB guardado (AnchorLinearRegression, MAE train 0.757)
